"col-12","col-12 2","col-12 3","col-12 4","col-12 5","col-12 href","col-12 6","btn href","col-12 href 2"
"MITO Technology","Milano","-","http://www.mitotech.eu","info@mitotech.eu","mailto:info@mitotech.eu","Francesco De Michelis","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl32$lnkDettaglio','')","http://www.mitotech.eu/"
"Montefiore Investment","Milano","+39 02 86 88 63 08","https://montefiore.eu/en/","ml@montefiore.eu; ac@montefiore.eu","mailto:ml@montefiore.eu; ac@montefiore.eu","Marie Londero, Alessandro Candido","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl33$lnkDettaglio','')","https://montefiore.eu/en/"
"Neva SGR","Torino","-","https://www.nevasgr.com/","-","mailto:-","-","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl34$lnkDettaglio','')","https://www.nevasgr.com/"
"Permira Associati","Milano","+39 / 02 76004740","http://www.permira.com","giorgio.dinaro@permira.com","mailto:giorgio.dinaro@permira.com","Giorgio Dinaro","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl35$lnkDettaglio','')","http://www.permira.com/"
"Ring Capital","Paris","-","https://www.ringcp.com/","sara.debenedetti@ringcp.com","mailto:sara.debenedetti@ringcp.com","Sara De Benedetti","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl36$lnkDettaglio','')","https://www.ringcp.com/"
"Sagard","Milano","-","https://www.sagard.com/midcap/","alessia.frigerio@sagard.eu","mailto:alessia.frigerio@sagard.eu","Andrea Bertoncello","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl37$lnkDettaglio','')","https://www.sagard.com/midcap/"
"Scientifica Venture Capital","Roma","+39 06 58364 202","https://scientifica.vc/","info@scientifica.vc","mailto:info@scientifica.vc","Simone Valorani","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl38$lnkDettaglio','')","https://scientifica.vc/"
"Sinloc Investimenti SGR","Padova","+39/ 0498456911","http://www.sinlocinvestimentisgr.com","info@sinlocinvestimentisgr.com","mailto:info@sinlocinvestimentisgr.com","Enzo Pietropaoli","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl39$lnkDettaglio','')","http://www.sinlocinvestimentisgr.com/"
"Siryo","Bari","0803848614","http://www.siryo.it/it/","info@siryo.it","mailto:info@siryo.it","Ercole Festa","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl40$lnkDettaglio','')","http://www.siryo.it/it/"
"Swiss Life Asset Managers Luxembourg Succursale Italia","Milano","+39 02 38 585 779","http://www.swisslife-am.com","Antonio.Iaquinta@swisslife-am.com","mailto:Antonio.Iaquinta@swisslife-am.com","Antonio Iaquinta","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl41$lnkDettaglio','')","http://www.swisslife-am.com/"
"Tages Capital SGR","Milano","+39 / 02 87337458","http://www.tagescapitalsgr.com/","angela.racca@tagescapital.com","mailto:angela.racca@tagescapital.com","Angela Racca","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl42$lnkDettaglio','')","http://www.tagescapitalsgr.com/"
"TeamSystem Capital at Work SGR","Milano","02 36569566","http://www.tscawsgr.com/it","info@tscawsgr.com; investor@tscawsgr.com","mailto:info@tscawsgr.com; investor@tscawsgr.com","Dario Fracchiolla, Managing Director","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl43$lnkDettaglio','')","http://www.tscawsgr.com/it"
"Three Hills Capital Partners","Milano","+39 / 02 82959110","http://www.threehills.com","info@threehills.com, m.anatriello@atypicalpartner.com, b.tamburi@threehills.com, investorservices@threehills.com","mailto:info@threehills.com, m.anatriello@atypicalpartner.com, b.tamburi@threehills.com, investorservices@threehills.com","Marco Anatriello, Beatrice Tamburi, Anna Vivaldi","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl44$lnkDettaglio','')","http://www.threehills.com/"
"ToSeed","Siena","0577-257322","https://toseed.it/","giovanni.ferri@toseed.it","mailto:giovanni.ferri@toseed.it","Giovanni Ferri","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl45$lnkDettaglio','')","https://toseed.it/"
"Trentino Sviluppo","Rovereto","+39 / 0464 443111","http://www.trentinosviluppo.it","info@trentinosviluppo.it rita.scottini@trentinosviluppo.it","mailto:info@trentinosviluppo.it rita.scottini@trentinosviluppo.it","Rita Scottini","javascript:__doPostBack('ctl00$ctl18$rptaderentiassociati$ctl46$lnkDettaglio','')","http://www.trentinosviluppo.it/"
